Name,Slug,Status,Category,Date,Description
"Illustration","illustration","Published","personal","2024-01-01","個人插畫創作。這裡放作品介紹文字，說明創作理念、使用媒材與過程。"
"Mentor","mentor","Published","client","2024-01-01","AI 整合學習平台的介面與視覺設計。這裡放專案背景、負責範圍與設計重點。"
"Train","train","Published","personal","2023-01-01","個人插畫創作。這裡放作品介紹文字。"
"Penguin Territory","penguin-territory","Published","client","2024-01-01","遊戲介面與視覺設計。這裡放專案背景、負責範圍與設計重點。"
"Hot Tea","hot-tea","Published","personal","2023-01-01","個人插畫創作。這裡放作品介紹文字。"
"eHairPOS","ehairpos","Published","client","2023-01-01","美髮沙龍 POS 系統的介面設計。這裡放專案背景、負責範圍與設計重點。"
"Chivalry","chivalry","Published","personal","2023-01-01","個人插畫創作。這裡放作品介紹文字。"
"Basel","basel","Published","client","2023-01-01","委託專案。這裡放專案背景、負責範圍與設計重點。"
"Textbook","textbook","Published","personal","2022-01-01","個人插畫創作。這裡放作品介紹文字。"
"Chivalry Cover","chivalry-cover","Published","client","2023-01-01","桌遊視覺與封面設計。這裡放專案背景、負責範圍與設計重點。"
"Mentor Poster","mentor-poster","Published","client","2024-01-01","主視覺海報設計。這裡放專案背景與設計重點。"
"Shopping","shopping","Published","client","2022-01-01","電商購物網站的介面設計。這裡放專案背景、負責範圍與設計重點。"
"eHairPOS Poster","ehairpos-poster","Published","client","2023-01-01","主視覺海報設計。這裡放專案背景與設計重點。"
"Portrait","portrait","Published","personal","2022-01-01","個人插畫創作。這裡放作品介紹文字。"
"Penguin Poster","penguin-poster","Published","personal","2024-01-01","個人插畫創作。這裡放作品介紹文字。"
